,angle,method_name,MAE,RMSE,SNR,PEARSON,Acccuracy,dataset_name
48,35.0,PBV,6.15234375,15.57425842968986,0.9799294579512011,0.41556099940605246,70.0,KISMED
49,40.0,PBV,8.61328125,18.301521213028646,0.834240770940036,0.2798806313001262,65.0,KISMED
50,45.0,PBV,8.61328125,18.65270164905325,0.17953960621546505,0.3043431398530176,65.0,KISMED
51,50.0,PBV,12.3046875,22.67509991708967,-0.670311997593778,-0.14452355337948025,55.0,KISMED
52,60.0,PBV,6.240234375,13.207010453621603,-0.0513569221138789,0.5764550345090105,60.0,KISMED
53,70.0,PBV,4.04296875,8.753835654835827,-0.7834024247815009,0.8064416449768631,75.0,KISMED
54,90.0,PBV,7.646484375,13.734579976606094,-2.131530770082271,0.6942168863905913,60.0,KISMED
55,15.0,POS,2.197265625,3.449077184240962,-2.3018498797307894,0.9584179044381604,65.0,KISMED
56,20.0,POS,3.251953125,7.811889624593779,-0.467211045885049,0.8282291630368289,80.0,KISMED
57,25.0,POS,1.669921875,3.311972522124042,0.5911131722863008,0.9524754530541312,85.0,KISMED
58,30.0,POS,1.142578125,2.3253673632403626,2.163610449354768,0.9794964251000032,90.0,KISMED
59,35.0,POS,1.0546875,2.2234764798058917,3.2517573859454005,0.9810000722073783,95.0,KISMED
60,40.0,POS,1.142578125,2.3253673632403626,4.138191819338836,0.9767280397150193,90.0,KISMED
61,45.0,POS,1.142578125,2.25795103921848,4.865285085627071,0.9797203961483645,95.0,KISMED
62,50.0,POS,0.966796875,2.25795103921848,5.213025607537665,0.9782973879948486,90.0,KISMED
63,60.0,POS,0.615234375,1.1791764725096547,5.919391788637868,0.9940423608287431,95.0,KISMED
64,70.0,POS,0.615234375,1.1791764725096547,6.367057927002931,0.9940423608287431,95.0,KISMED
65,90.0,POS,0.615234375,1.1791764725096547,6.048689841667286,0.9940423608287431,95.0,KISMED
66,15.0,CHROM,2.3810369318181817,7.144201077942933,-0.30607029981237227,0.9151443472162846,80.9090909090909,UBFC-rPPG
67,20.0,CHROM,1.7418323863636365,5.993927396817279,1.517053652007724,0.9372002638498595,87.27272727272727,UBFC-rPPG
68,25.0,CHROM,1.4701704545454546,4.5283254913971165,2.0637479921284028,0.9646228490926455,84.54545454545455,UBFC-rPPG
69,30.0,CHROM,1.3103693181818181,4.351171028580397,2.296619648076771,0.9678379117011601,87.27272727272727,UBFC-rPPG
70,35.0,CHROM,1.4701704545454546,5.252087462942224,2.6679553418610458,0.9526470723191867,86.36363636363636,UBFC-rPPG
71,40.0,CHROM,1.5660511363636365,5.11663175764329,2.7808701105996887,0.9554353221634453,82.72727272727273,UBFC-rPPG
72,45.0,CHROM,1.4541903409090908,5.041972765573562,2.995784334986729,0.9561749721267154,85.45454545454545,UBFC-rPPG
73,50.0,CHROM,1.4861505681818181,5.244058789515105,3.137631273579763,0.952163494046846,85.45454545454545,UBFC-rPPG
74,60.0,CHROM,1.40625,4.988765232225157,3.1644807695399817,0.9568307299042635,84.54545454545455,UBFC-rPPG
75,70.0,CHROM,1.5181107954545454,5.146737901024249,3.077186912035786,0.9540917910978689,83.63636363636364,UBFC-rPPG
76,90.0,CHROM,2.3490767045454546,7.7187422723208465,0.35542653898105536,0.9025390360575196,81.81818181818181,UBFC-rPPG
77,15.0,GREEN,30.902971540178573,37.94341195561807,-18.41503070646331,-0.07752535099209333,10.714285714285714,UBFC-rPPG
78,20.0,GREEN,31.075613839285715,38.055582211135615,-18.040871506471806,-0.0926478237752297,7.142857142857143,UBFC-rPPG
79,25.0,GREEN,27.57568359375,35.615074094296396,-15.525238264799274,0.08199787769797687,15.178571428571429,UBFC-rPPG
80,30.0,GREEN,24.734933035714285,33.70023055052313,-14.790451936622905,0.040211662069962864,21.428571428571427,UBFC-rPPG
81,35.0,GREEN,25.2685546875,34.16690011116408,-14.404861395676148,0.1647715896024853,25.892857142857142,UBFC-rPPG
82,40.0,GREEN,22.882952008928573,31.48941967835131,-14.380662516832802,0.2231123232569957,23.214285714285715,UBFC-rPPG
